#BONDS
#ATOM#1	ATOM#2	Kb(Kcal/mol/A**2)	BOND_LENGTH(A)
CST	OST	937.96	1.1600	
SS	FE	250.0	2.3200	
C	C	600.000	1.3350	
CA	CA	305.000	1.3750	
CE1	CE1	440.000	1.3400	
CE1	CE2	500.000	1.3420	
CE1	CT2	365.000	1.5020	
CE1	CT3	383.000	1.5040	
CE2	CE2	510.000	1.3300	
CP1	C	250.000	1.4900	
CP1	CC	250.000	1.4900	
CP1	CD	200.000	1.4900	
CP2	CP1	222.500	1.5270	
CP2	CP2	222.500	1.5370	
CP3	CP2	222.500	1.5370	
CPB	CE1	450.000	1.3800	
CPB	CPA	299.800	1.4432	
CPB	CPB	340.700	1.3464	
CPH1	CPH1	410.000	1.3600	
CPM	CPA	360.000	1.3716	
CPT	CA	305.000	1.3680	
CPT	CPT	360.000	1.4000	
CT1	C	250.000	1.4900	
CT1	CC	200.000	1.5220	
CT1	CD	200.000	1.5220	
CT1	CT1	222.500	1.5000	
CT2	C	250.000	1.4900	
CT2	CA	230.000	1.4900	
CT2	CC	200.000	1.5220	
CT2	CD	200.000	1.5220	
CT2	CPB	230.000	1.4900	
CT2	CPH1	229.630	1.5000	
CT2	CT1	222.500	1.5380	
CT2	CT2	222.500	1.5300	
CT3	C	250.000	1.4900	
CT3	CA	230.000	1.4900	
CT3	CC	200.000	1.5220	
CT3	CD	200.000	1.5220	
CT3	CPB	230.000	1.4900	
CT3	CPH1	229.630	1.5000	
CT3	CS	190.000	1.5310	
CT3	CT1	222.500	1.5380	
CT3	CT2	222.500	1.5280	
CT3	CT3	222.500	1.5300	
CY	CA	350.000	1.3650	
CY	CPT	350.000	1.4400	
CY	CT2	230.000	1.5100	
FE	CM	258.000	1.9000	
FE	CPM	0.000	3.3814	
H	CD	330.000	1.1100	
HA	CA	340.000	1.0830	
HA	CC	317.130	1.1000	
HA	CP2	309.000	1.1110	
HA	CP3	309.000	1.1110	
HA	CPM	367.600	1.0900	
HA	CS	300.000	1.1110	
HA	CT1	309.000	1.1110	
HA	CT2	309.000	1.1110	
HA	CT3	322.000	1.1110	
HA	CY	330.000	1.0800	
HE1	CE1	360.500	1.1000	
HE2	CE2	365.000	1.1000	
HB	CP1	330.000	1.0800	
HB	CT1	330.000	1.0800	
HB	CT2	330.000	1.0800	
HB	CT3	330.000	1.0800	
HP	CA	340.000	1.0800	
HP	CY	350.000	1.0800	
HR1	CPH1	375.000	1.0830	
HR1	CPH2	340.000	1.0900	
HR2	CPH2	333.000	1.0700	
HR3	CPH1	365.000	1.0830	
HT	HT	0.000	1.5139	
N	C	260.000	1.3000	
N	CP1	320.000	1.4340	
N	CP3	320.000	1.4550	
NC2	C	463.000	1.3650	
NC2	CT2	261.000	1.4900	
NC2	CT3	261.000	1.4900	
NC2	HC	455.000	1.0000	
NH1	C	370.000	1.3450	
NH1	CT1	320.000	1.4300	
NH1	CT2	320.000	1.4300	
NH1	CT3	320.000	1.4300	
NH1	H	440.000	0.9970	
NH1	HC	405.000	0.9800	
NH2	CC	430.000	1.3600	
NH2	CT2	240.000	1.4550	
NH2	CT3	240.000	1.4550	
NH2	H	480.000	1.0000	
NH2	HC	460.000	1.0000	
NH3	CT1	200.000	1.4800	
NH3	CT2	200.000	1.4800	
NH3	CT3	200.000	1.4800	
NH3	HC	403.000	1.0400	
NP	CP1	320.000	1.4850	
NP	CP3	320.000	1.5020	
NP	HC	460.000	1.0060	
NPH	CPA	377.200	1.3757	
NPH	FE	270.200	1.9580	
NR1	CPH1	400.000	1.3800	
NR1	CPH2	400.000	1.3600	
NR1	H	466.000	1.0000	
NR2	CPH1	400.000	1.3800	
NR2	CPH2	400.000	1.3200	
NR2	FE	65.000	2.2000	
NR3	CPH1	380.000	1.3700	
NR3	CPH2	380.000	1.3200	
NR3	H	453.000	1.0000	
NY	CA	270.000	1.3700	
NY	CPT	270.000	1.3750	
NY	H	465.000	0.9760	
O	C	620.000	1.2300	
O	CC	650.000	1.2300	
OB	CC	750.000	1.2200	
OB	CD	750.000	1.2200	
OC	CA	525.000	1.2600	
OC	CC	525.000	1.2600	
OC	CT2	450.000	1.3300	
OC	CT3	450.000	1.3300	
OH1	CA	334.300	1.4110	
